"Monto","Fecha","Actividad","Direccion","Empleado","Sexo","Nivel_Estudio","Rango_Etareo","Descuento"
"2274,00","2020-09-29","Bienestar y Relajación","Bv. Roca 111","JON SIMO","f","Educacion Superior","Adultez",",00"
"2237,00","2020-09-29","Actividades Acuáticas","Bv. Roca 111","LILIANA RUA","f","Educacion Superior","Adultez",",00"
"1428,00","2020-09-29","Entrenamiento Especializado","Bv. Roca 111","JUAN ALBERTO MORA","m","Ingenieria","Adultez",",00"
"1308,00","2020-09-30","Actividades al Aire Libre","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Tecnicatura Universitaria","Adultez",",00"
"1537,00","2020-10-03","Entrenamiento Especializado","Bv. Roca 111","LUIS MANUEL MATO","f","Educacion Superior","Adultez",",00"
"2635,00","2020-10-08","Entrenamiento Especializado","Bv. Roca 111","LILIANA RUA","m","Ingenieria","Adultez",",00"
"1557,00","2020-10-09","Cardio y Acondicionamiento Físico","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Maestria","Adultez",",00"
"2476,00","2020-10-10","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ELIA GASPAR","f","Licenciatura","Adultez",",00"
"2265,00","2020-10-12","Cardio y Acondicionamiento Físico","Bv. Roca 111","IGNACIO VEIGA","m","Licenciatura","Juventud",",00"
"1844,00","2020-10-12","Deportes","Bv. Roca 111","VERONICA PAREJA","f","Ingenieria","Juventud",",00"
"2874,00","2020-10-13","Cardio y Acondicionamiento Físico","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Doctorado","Adultez",",00"
"2555,00","2020-10-13","Actividades al Aire Libre","Bv. Roca 111","ROSANA LEAL","m","Ingenieria","Adultez",",00"
"1640,00","2020-10-15","Deportes","Bv. Roca 111","VICTOR MANUEL CASTEJON","f","Ingenieria","Adultez",",00"
"1970,00","2020-10-18","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","SAID AMARO","m","Doctorado","Juventud",",00"
"2239,00","2020-10-20","Actividades Acuáticas","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Educacion Secundaria","Adultez",",00"
"2671,00","2020-10-23","Actividades Acuáticas","Bv. Roca 111","SUSANA SEBASTIAN","f","Doctorado","Adultez",",00"
"2274,00","2020-10-24","Actividades Acuáticas","Bv. Roca 111","MARTA FALCON","f","Educacion Secundaria","Adultez",",00"
"2062,00","2020-10-25","Baile","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Licenciatura","Juventud","515,50"
"1416,00","2020-10-27","Bienestar y Cuidado Corporal","Bv. Roca 111","LILIANA RUA","m","Doctorado","Juventud",",00"
"2065,00","2020-10-27","Actividades al Aire Libre","Bv. Roca 111","LETICIA TORNERO","f","Tecnicatura Universitaria","Adultez",",00"
"1738,00","2020-10-28","Bienestar y Relajación","Bv. Roca 111","ROSANA LEAL","f","Doctorado","Adultez",",00"
"1498,00","2020-11-04","Bienestar y Cuidado Corporal","Bv. Roca 111","MANUEL JESUS RANGEL","m","Licenciatura","Adultez",",00"
"2688,00","2020-11-04","Actividades al Aire Libre","Bv. Roca 111","LILIANA RUA","m","Tecnicatura Universitaria","Adultez",",00"
"2755,00","2020-11-06","Deportes","Bv. Roca 111","FERRAN ESTEVE","f","Licenciatura","Adultez",",00"
"2687,00","2020-11-07","Entrenamiento Especializado","Bv. Roca 111","YOUSSEF DE ANDRES","f","Tecnicatura Universitaria","Adultez",",00"
"2322,00","2020-11-07","Bienestar y Cuidado Corporal","Bv. Roca 111","LUIS MANUEL MATO","m","Maestria","Juventud",",00"
"2004,00","2020-11-12","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARTA FALCON","m","Doctorado","Adultez",",00"
"2552,00","2020-11-12","Bienestar y Relajación","Bv. Roca 111","BERTA VALLE","m","Educacion Primaria","Adultez",",00"
"2876,00","2020-11-13","Baile","Bv. Roca 111","LUIS MANUEL MATO","m","Tecnicatura Universitaria","Adultez",",00"
"2279,00","2020-11-13","Deportes","Bv. Roca 111","JUAN MANUEL RINCON","f","Licenciatura","Juventud",",00"
"2898,00","2020-11-16","Entrenamiento Especializado","Bv. Roca 111","OLGA PRADO","f","Educacion Superior","Adultez",",00"
"2687,00","2020-11-17","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN ALBERTO MORA","m","Educacion Secundaria","Adultez",",00"
"2548,00","2020-11-18","Bienestar y Relajación","Bv. Roca 111","JUAN DIEGO PICON","f","Educacion Secundaria","Adultez",",00"
"1439,00","2020-11-18","Deportes","Bv. Roca 111","ELIA GASPAR","f","Tecnicatura Universitaria","Adultez",",00"
"1377,00","2020-11-22","Deportes","Bv. Roca 111","ROSANA LEAL","m","Educacion Superior","Adultez",",00"
"2870,00","2020-11-22","Entrenamiento Especializado","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Superior","Adultez",",00"
"2635,00","2020-11-23","Actividades al Aire Libre","Bv. Roca 111","ROSA ANA MANRIQUE","m","Maestria","Juventud",",00"
"1778,00","2020-11-25","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Doctorado","Adultez",",00"
"2038,00","2020-11-25","Grupos Específicos","Bv. Roca 111","LUIS MANUEL MATO","f","Doctorado","Adultez",",00"
"1682,00","2020-11-26","Bienestar y Relajación","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Doctorado","Adultez",",00"
"1548,00","2020-11-26","Bienestar y Cuidado Corporal","Bv. Roca 111","VERONICA PAREJA","m","Educacion Primaria","Adultez","154,80"
"1511,00","2020-12-01","Entrenamiento Especializado","Bv. Roca 111","IGNACIO VEIGA","m","Educacion Secundaria","Adultez",",00"
"1681,00","2020-12-04","Entrenamiento Especializado","Bv. Roca 111","CARLOS PUENTE","m","Ingenieria","Adultez",",00"
"1670,00","2020-12-07","Grupos Específicos","Bv. Roca 111","IGOR ORTEGA","m","Ingenieria","Adultez",",00"
"1981,00","2020-12-08","Cardio y Acondicionamiento Físico","Bv. Roca 111","MANUEL JESUS RANGEL","f","Tecnicatura Universitaria","Adultez",",00"
"1647,00","2020-12-10","Cardio y Acondicionamiento Físico","Bv. Roca 111","ABDELAZIZ SANTANA","m","Doctorado","Adultez",",00"
"2524,00","2020-12-11","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Primaria","Adultez",",00"
"1811,00","2020-12-11","Deportes","Bv. Roca 111","SAID AMARO","f","Maestria","Adultez","362,20"
"2359,00","2020-12-11","Actividades al Aire Libre","Bv. Roca 111","MANUEL JESUS RANGEL","m","Doctorado","Adultez",",00"
"2090,00","2020-12-12","Deportes","Bv. Roca 111","IGNACIO VEIGA","m","Ingenieria","Adultez","418,00"
"2706,00","2020-12-12","Entrenamiento Especializado","Bv. Roca 111","YOUSSEF DE ANDRES","f","Doctorado","Adultez",",00"
"1691,00","2020-12-13","Baile","Bv. Roca 111","LUIS MANUEL MATO","f","Ingenieria","Adultez","422,75"
"2739,00","2020-12-14","Bienestar y Relajación","Bv. Roca 111","YOUSSEF DE ANDRES","m","Licenciatura","Adultez",",00"
"2615,00","2020-12-15","Deportes","Bv. Roca 111","NURIA GUILLEN","f","Educacion Superior","Adultez","523,00"
"1311,00","2020-12-19","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","NURIA GUILLEN","f","Educacion Primaria","Adultez",",00"
"1540,00","2020-12-20","Deportes","Bv. Roca 111","ARTURO RAYA","m","Maestria","Juventud",",00"
"2219,00","2020-12-20","Grupos Específicos","Bv. Roca 111","ABDELAZIZ SANTANA","f","Educacion Superior","Adultez",",00"
"2872,00","2020-12-21","Entrenamiento Especializado","Bv. Roca 111","FERRAN ESTEVE","m","Educacion Superior","Adultez",",00"
"2395,00","2020-12-22","Grupos Específicos","Bv. Roca 111","BELEN GRANADO","f","Doctorado","Adultez",",00"
"2983,00","2020-12-23","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","CARLOS PUENTE","m","Tecnicatura Universitaria","Adultez",",00"
"2903,00","2020-12-23","Baile","Bv. Roca 111","ABDELAZIZ SANTANA","f","Ingenieria","Adultez","725,75"
"1994,00","2020-12-23","Entrenamiento Especializado","Bv. Roca 111","ELIA GASPAR","m","Tecnicatura Universitaria","Adultez",",00"
"1868,00","2020-12-26","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","LILIANA RUA","m","Maestria","Adultez",",00"
"1748,00","2020-12-26","Bienestar y Relajación","Bv. Roca 111","SAID AMARO","f","Maestria","Adultez",",00"
"1813,00","2020-12-30","Bienestar y Relajación","Bv. Roca 111","ELIA GASPAR","m","Licenciatura","Adultez",",00"
"1878,00","2020-12-30","Bienestar y Cuidado Corporal","Bv. Roca 111","JUAN MANUEL RINCON","f","Doctorado","Adultez",",00"
"2342,00","2021-01-01","Cardio y Acondicionamiento Físico","Bv. Roca 111","YOUSSEF DE ANDRES","m","Educacion Primaria","Adultez","585,50"
"2727,00","2021-01-02","Entrenamiento Especializado","Bv. Roca 111","BELEN GRANADO","m","Doctorado","Adultez",",00"
"2195,00","2021-01-04","Grupos Específicos","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Doctorado","Adultez",",00"
"2029,00","2021-01-04","Actividades al Aire Libre","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Superior","Adultez",",00"
"2175,00","2021-01-05","Deportes","Bv. Roca 111","ARTURO RAYA","m","Tecnicatura Universitaria","Adultez",",00"
"1582,00","2021-01-05","Actividades Acuáticas","Bv. Roca 111","ROSA ANA MANRIQUE","m","Doctorado","Adultez","79,10"
"2285,00","2021-01-06","Baile","Bv. Roca 111","LETICIA TORNERO","f","Educacion Primaria","Adultez",",00"
"1439,00","2021-01-06","Actividades Acuáticas","Bv. Roca 111","JON SIMO","m","Educacion Secundaria","Adultez","71,95"
"2584,00","2021-01-07","Bienestar y Relajación","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Educacion Secundaria","Adultez",",00"
"2582,00","2021-01-08","Grupos Específicos","Bv. Roca 111","BERTA VALLE","m","Educacion Primaria","Adultez",",00"
"1714,00","2021-01-11","Entrenamiento Especializado","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Licenciatura","Adultez",",00"
"1490,00","2021-01-15","Actividades al Aire Libre","Bv. Roca 111","CARLOS PUENTE","f","Ingenieria","Adultez",",00"
"1798,00","2021-01-17","Bienestar y Relajación","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Educacion Superior","Adultez",",00"
"1955,00","2021-01-21","Actividades Acuáticas","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Tecnicatura Universitaria","Adultez",",00"
"2161,00","2021-01-21","Actividades al Aire Libre","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Maestria","Adultez",",00"
"1535,00","2021-01-24","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","VICTOR MANUEL CASTEJON","f","Maestria","Adultez",",00"
"2050,00","2021-01-27","Deportes","Bv. Roca 111","SAID AMARO","f","Maestria","Adultez",",00"
"1502,00","2021-01-28","Grupos Específicos","Bv. Roca 111","OLGA PRADO","m","Maestria","Adultez",",00"
"2938,00","2021-01-31","Actividades Acuáticas","Bv. Roca 111","JUAN MANUEL RINCON","m","Educacion Primaria","Adultez",",00"
"2792,00","2021-02-01","Deportes","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Tecnicatura Universitaria","Adultez","279,20"
"1376,00","2021-02-01","Actividades al Aire Libre","Bv. Roca 111","FRANCISCO JOSE GOMES","m","Doctorado","Juventud",",00"
"2288,00","2021-02-02","Actividades al Aire Libre","Bv. Roca 111","OLGA PRADO","m","Educacion Superior","Adultez",",00"
"1728,00","2021-02-03","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARTA FALCON","f","Educacion Secundaria","Adultez",",00"
"2426,00","2021-02-04","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN MANUEL RINCON","f","Tecnicatura Universitaria","Adultez",",00"
"2607,00","2021-02-04","Entrenamiento Especializado","Bv. Roca 111","MANUEL JESUS RANGEL","m","Educacion Superior","Juventud",",00"
"1534,00","2021-02-08","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","IGNACIO VEIGA","m","Tecnicatura Universitaria","Adultez",",00"
"2759,00","2021-02-08","Baile","Bv. Roca 111","BERTA VALLE","f","Doctorado","Adultez",",00"
"1849,00","2021-02-12","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN FRANCISCO LAVADO","f","Licenciatura","Adultez",",00"
"1431,00","2021-02-13","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","FERRAN ESTEVE","m","Doctorado","Juventud",",00"
"2275,00","2021-02-13","Deportes","Bv. Roca 111","LILIANA RUA","f","Educacion Primaria","Adultez","568,75"
"1976,00","2021-02-14","Grupos Específicos","Bv. Roca 111","MARIAN HUETE","m","Educacion Primaria","Adultez",",00"
"1490,00","2021-02-16","Bienestar y Cuidado Corporal","Bv. Roca 111","FERRAN ESTEVE","m","Licenciatura","Adultez",",00"
"2229,00","2021-02-21","Deportes","Bv. Roca 111","SUSANA SEBASTIAN","m","Educacion Primaria","Adultez","557,25"
"1767,00","2021-02-21","Grupos Específicos","Bv. Roca 111","MARIAN HUETE","f","Licenciatura","Juventud",",00"
"2649,00","2021-02-24","Baile","Bv. Roca 111","MARIAN HUETE","m","Doctorado","Adultez",",00"
"2215,00","2021-02-24","Bienestar y Cuidado Corporal","Bv. Roca 111","JON SIMO","f","Doctorado","Adultez",",00"
"1804,00","2021-02-25","Actividades Acuáticas","Bv. Roca 111","LETICIA TORNERO","f","Maestria","Adultez",",00"
"2658,00","2021-02-25","Actividades al Aire Libre","Bv. Roca 111","JUAN DIEGO PICON","m","Doctorado","Adultez",",00"
"2038,00","2021-02-26","Baile","Bv. Roca 111","LETICIA TORNERO","f","Educacion Secundaria","Adultez",",00"
"2301,00","2021-02-26","Actividades al Aire Libre","Bv. Roca 111","IGNACIO VEIGA","f","Educacion Superior","Adultez",",00"
"2634,00","2021-02-28","Actividades al Aire Libre","Bv. Roca 111","ARTURO RAYA","m","Ingenieria","Adultez",",00"
"2273,00","2021-03-02","Deportes","Bv. Roca 111","MANUEL JESUS RANGEL","m","Educacion Primaria","Adultez","568,25"
"2938,00","2021-03-05","Deportes","Bv. Roca 111","MANUEL JESUS RANGEL","m","Ingenieria","Adultez","734,50"
"1899,00","2021-03-09","Actividades al Aire Libre","Bv. Roca 111","ROSA ANA MANRIQUE","m","Tecnicatura Universitaria","Adultez",",00"
"2466,00","2021-03-11","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","FRANCISCO JOSE GOMES","m","Maestria","Adultez",",00"
"1635,00","2021-03-11","Actividades al Aire Libre","Bv. Roca 111","VERONICA PAREJA","m","Educacion Superior","Adultez",",00"
"2398,00","2021-03-14","Entrenamiento Especializado","Bv. Roca 111","ELIA GASPAR","m","Educacion Secundaria","Juventud",",00"
"2558,00","2021-03-17","Actividades Acuáticas","Bv. Roca 111","SUSANA SEBASTIAN","f","Educacion Secundaria","Adultez",",00"
"1801,00","2021-03-18","Bienestar y Relajación","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Maestria","Adultez",",00"
"2105,00","2021-03-18","Bienestar y Relajación","Bv. Roca 111","JUAN MANUEL RINCON","f","Educacion Superior","Adultez",",00"
"2114,00","2021-03-18","Actividades Acuáticas","Bv. Roca 111","ANTONIO LUIS SANJUAN","m","Educacion Secundaria","Adultez",",00"
"2358,00","2021-03-20","Bienestar y Relajación","Bv. Roca 111","MANUEL JESUS RANGEL","m","Maestria","Juventud",",00"
"1648,00","2021-03-23","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN FRANCISCO LAVADO","m","Educacion Primaria","Adultez",",00"
"2789,00","2021-03-24","Deportes","Bv. Roca 111","JUAN DIEGO PICON","f","Licenciatura","Adultez",",00"
"1760,00","2021-03-24","Grupos Específicos","Bv. Roca 111","VICTOR MANUEL CASTEJON","f","Maestria","Adultez",",00"
"2982,00","2021-03-25","Cardio y Acondicionamiento Físico","Bv. Roca 111","FRANCISCO JOSE GOMES","m","Ingenieria","Adultez","298,20"
"2417,00","2021-03-29","Deportes","Bv. Roca 111","SAID AMARO","f","Educacion Superior","Adultez",",00"
"1846,00","2021-03-30","Actividades Acuáticas","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Doctorado","Adultez",",00"
"2504,00","2021-03-31","Baile","Bv. Roca 111","MARIAN HUETE","m","Educacion Secundaria","Adultez","626,00"
"2126,00","2021-04-04","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARTA FALCON","f","Educacion Secundaria","Adultez","318,90"
"2101,00","2021-04-04","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN DIEGO PICON","f","Educacion Secundaria","Adultez",",00"
"2722,00","2021-04-04","Deportes","Bv. Roca 111","SUSANA SEBASTIAN","m","Doctorado","Adultez",",00"
"1517,00","2021-04-07","Deportes","Bv. Roca 111","SAID AMARO","m","Tecnicatura Universitaria","Adultez",",00"
"1419,00","2021-04-09","Baile","Bv. Roca 111","JOAN MONTALBAN","f","Maestria","Adultez",",00"
"2128,00","2021-04-09","Actividades Acuáticas","Bv. Roca 111","JOAN MONTALBAN","f","Maestria","Adultez","425,60"
"1868,00","2021-04-11","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","LETICIA TORNERO","m","Educacion Secundaria","Adultez","280,20"
"1595,00","2021-04-12","Bienestar y Relajación","Bv. Roca 111","ROSANA LEAL","m","Tecnicatura Universitaria","Adultez",",00"
"2917,00","2021-04-12","Baile","Bv. Roca 111","JON SIMO","f","Ingenieria","Juventud",",00"
"1483,00","2021-04-12","Deportes","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Ingenieria","Adultez",",00"
"2850,00","2021-04-12","Deportes","Bv. Roca 111","SAID AMARO","f","Educacion Superior","Adultez",",00"
"1711,00","2021-04-13","Deportes","Bv. Roca 111","ABDELAZIZ SANTANA","m","Maestria","Adultez",",00"
"2230,00","2021-04-15","Cardio y Acondicionamiento Físico","Bv. Roca 111","JORGE LUIS BUSQUETS","f","Licenciatura","Adultez","557,50"
"1385,00","2021-04-16","Actividades Acuáticas","Bv. Roca 111","LILIANA RUA","f","Educacion Superior","Juventud","277,00"
"1438,00","2021-04-18","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JON SIMO","m","Maestria","Adultez","215,70"
"1640,00","2021-04-19","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARIAN HUETE","f","Tecnicatura Universitaria","Adultez","246,00"
"2176,00","2021-04-20","Bienestar y Relajación","Bv. Roca 111","NURIA GUILLEN","m","Educacion Secundaria","Adultez",",00"
"2017,00","2021-04-22","Entrenamiento Especializado","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Ingenieria","Adultez",",00"
"2015,00","2021-04-23","Cardio y Acondicionamiento Físico","Bv. Roca 111","YOUSSEF DE ANDRES","f","Educacion Superior","Juventud","503,75"
"1859,00","2021-04-24","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN DIEGO PICON","f","Educacion Superior","Adultez","278,85"
"2671,00","2021-04-28","Bienestar y Relajación","Bv. Roca 111","ABDELAZIZ SANTANA","f","Licenciatura","Juventud",",00"
"2093,00","2021-04-30","Actividades Acuáticas","Bv. Roca 111","SORAYA SEBASTIAN","f","Educacion Primaria","Adultez","418,60"
"1778,00","2021-05-01","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","LETICIA TORNERO","m","Tecnicatura Universitaria","Juventud",",00"
"1350,00","2021-05-01","Deportes","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Maestria","Adultez","67,50"
"1666,00","2021-05-02","Cardio y Acondicionamiento Físico","Bv. Roca 111","SAID AMARO","f","Ingenieria","Juventud","416,50"
"2365,00","2021-05-03","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ABDELAZIZ SANTANA","m","Ingenieria","Adultez",",00"
"2227,00","2021-05-03","Cardio y Acondicionamiento Físico","Bv. Roca 111","JUAN DIEGO PICON","f","Doctorado","Juventud","556,75"
"2828,00","2021-05-04","Cardio y Acondicionamiento Físico","Bv. Roca 111","BELEN GRANADO","m","Educacion Superior","Adultez","707,00"
"1992,00","2021-05-04","Deportes","Bv. Roca 111","ARTURO RAYA","m","Tecnicatura Universitaria","Adultez","99,60"
"2276,00","2021-05-04","Actividades al Aire Libre","Bv. Roca 111","OLGA PRADO","m","Doctorado","Adultez",",00"
"1386,00","2021-05-05","Deportes","Bv. Roca 111","VERONICA PAREJA","f","Doctorado","Adultez","69,30"
"1779,00","2021-05-07","Entrenamiento Especializado","Bv. Roca 111","JUAN FRANCISCO LAVADO","m","Doctorado","Adultez",",00"
"2861,00","2021-05-10","Entrenamiento Especializado","Bv. Roca 111","IGOR ORTEGA","m","Ingenieria","Adultez",",00"
"1773,00","2021-05-11","Entrenamiento Especializado","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","m","Licenciatura","Adultez",",00"
"1679,00","2021-05-12","Bienestar y Relajación","Bv. Roca 111","OLGA PRADO","m","Licenciatura","Adultez",",00"
"1652,00","2021-05-12","Baile","Bv. Roca 111","LILIANA RUA","m","Ingenieria","Adultez",",00"
"1791,00","2021-05-12","Actividades Acuáticas","Bv. Roca 111","JUAN MANUEL RINCON","m","Maestria","Juventud",",00"
"2405,00","2021-05-15","Actividades al Aire Libre","Bv. Roca 111","ANTONIO LUIS SANJUAN","f","Educacion Primaria","Adultez",",00"
"2022,00","2021-05-16","Actividades Acuáticas","Bv. Roca 111","FRANCISCO MIGUEL HERREROS","f","Ingenieria","Adultez",",00"
"1351,00","2021-05-16","Bienestar y Cuidado Corporal","Bv. Roca 111","JOAN MONTALBAN","m","Educacion Superior","Adultez",",00"
"2156,00","2021-05-17","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ARTURO RAYA","f","Ingenieria","Adultez",",00"
"1982,00","2021-05-18","Bienestar y Relajación","Bv. Roca 111","IGOR ORTEGA","f","Ingenieria","Adultez",",00"
"2330,00","2021-05-18","Entrenamiento Especializado","Bv. Roca 111","LILIANA RUA","f","Doctorado","Adultez",",00"
"2559,00","2021-05-20","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","ANTONIO LUIS SANJUAN","f","Licenciatura","Adultez",",00"
"1633,00","2021-05-20","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","CARLOS PUENTE","f","Educacion Secundaria","Adultez",",00"
"1732,00","2021-05-21","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","MARTA FALCON","f","Ingenieria","Adultez",",00"
"1485,00","2021-05-21","Baile","Bv. Roca 111","LETICIA TORNERO","f","Ingenieria","Adultez",",00"
"1616,00","2021-05-21","Deportes","Bv. Roca 111","LUIS MANUEL MATO","f","Educacion Primaria","Juventud",",00"
"2434,00","2021-05-21","Bienestar y Cuidado Corporal","Bv. Roca 111","MARIAN HUETE","m","Ingenieria","Adultez",",00"
"2348,00","2021-05-22","Bienestar y Cuidado Corporal","Bv. Roca 111","IGNACIO VEIGA","f","Tecnicatura Universitaria","Adultez",",00"
"2177,00","2021-05-23","Deportes","Bv. Roca 111","JON SIMO","f","Educacion Primaria","Adultez",",00"
"2289,00","2021-05-24","Actividades Acuáticas","Bv. Roca 111","FERRAN ESTEVE","m","Educacion Superior","Adultez",",00"
"1990,00","2021-05-24","Grupos Específicos","Bv. Roca 111","MARIAN HUETE","f","Maestria","Adultez",",00"
"1814,00","2021-05-28","Bienestar y Cuidado Corporal","Bv. Roca 111","SORAYA SEBASTIAN","m","Ingenieria","Juventud","362,80"
"1763,00","2021-05-29","Cardio y Acondicionamiento Físico","Bv. Roca 111","VERONICA PAREJA","m","Educacion Primaria","Adultez",",00"
"2072,00","2021-05-30","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","JUAN FRANCISCO LAVADO","f","Doctorado","Adultez",",00"
"2200,00","2021-06-01","Actividades Acuáticas","Bv. Roca 111","JUAN ALBERTO MORA","m","Licenciatura","Adultez",",00"
"1973,00","2021-06-02","Grupos Específicos","Bv. Roca 111","ARTURO RAYA","m","Tecnicatura Universitaria","Juventud",",00"
"2445,00","2021-06-03","Deportes","Bv. Roca 111","ROSA ANA MANRIQUE","f","Educacion Primaria","Adultez","244,50"
"1308,00","2021-06-06","Cardio y Acondicionamiento Físico","Bv. Roca 111","BERTA VALLE","f","Doctorado","Adultez",",00"
"2039,00","2021-06-08","Grupos Específicos","Bv. Roca 111","OLGA PRADO","f","Doctorado","Juventud",",00"
"1723,00","2021-06-10","Baile","Bv. Roca 111","ROSANA LEAL","m","Licenciatura","Adultez",",00"
"2297,00","2021-06-14","Baile","Bv. Roca 111","MARIAN HUETE","f","Educacion Primaria","Adultez",",00"
"1406,00","2021-06-17","Actividades al Aire Libre","Bv. Roca 111","ROSANA LEAL","f","Educacion Primaria","Adultez",",00"
"2507,00","2021-06-18","Deportes","Bv. Roca 111","SORAYA SEBASTIAN","f","Educacion Secundaria","Adultez","250,70"
"2206,00","2021-06-18","Actividades Acuáticas","Bv. Roca 111","JORGE LUIS BUSQUETS","m","Educacion Secundaria","Adultez",",00"
"2489,00","2021-06-19","Musculación y Entrenamiento de Fuerza","Bv. Roca 111","SUSANA SEBASTIAN","f","Ingenieria","Adultez",",00"
"2736,00","2021-06-20","Bienestar y Relajación","Bv. Roca 111","JOAN MONTALBAN","m","Ingenieria","Juventud",",00"
"1955,00","2021-06-20","Bienestar y Relajación","Bv. Roca 111","JON SIMO","f","Licenciatura","Adultez",",00"
"1709,00","2021-06-20","Bienestar y Cuidado Corporal","Bv. Roca 111","JUAN FRANCISCO LAVADO","f","Licenciatura","Juventud",",00"
"1871,00","2021-06-20","Actividades al Aire Libre","Bv. Roca 111","JUAN DIEGO PICON","m","Educacion Secundaria","Adultez",",00"
"2311,00","2021-06-21","Bienestar y Cuidado Corporal","Bv. Roca 111","LETICIA TORNERO","f","Tecnicatura Universitaria","Adultez",",00"
"2484,00","2021-06-21","Bienestar y Cuidado Corporal","Bv. Roca 111","JON SIMO","m","Tecnicatura Universitaria","Adultez",",00"
"2533,00","2021-06-22","Actividades al Aire Libre","Bv. Roca 111","BELEN GRANADO","f","Licenciatura","Adultez",",00"
"1516,00","2021-06-23","Baile","Bv. Roca 111","SUSANA SEBASTIAN","m","Educacion Primaria","Adultez",",00"
"2581,00","2021-06-25","Deportes","Bv. Roca 111","FERRAN ESTEVE","m","Educacion Superior","Adultez",",00"
"2891,00","2021-06-25","Bienestar y Cuidado Corporal","Bv. Roca 111","LETICIA TORNERO","f","Maestria","Adultez",",00"
"1577,00","2021-06-25","Actividades al Aire Libre","Bv. Roca 111","SORAYA SEBASTIAN","f","Educacion Secundaria","Adultez",",00"
"2013,00","2021-06-26","Bienestar y Cuidado Corporal","Bv. Roca 111","NURIA GUILLEN","f","Maestria","Adultez",",00"
"2662,00","2021-06-27","Bienestar y Cuidado Corporal","Bv. Roca 111","BELEN GRANADO","m","Doctorado","Adultez",",00"
"2734,00","2021-06-28","Deportes","Bv. Roca 111","BELEN GRANADO","m","Doctorado","Adultez",",00"
"2571,00","2021-06-29","Deportes","Bv. Roca 111","CARLOS PUENTE","m","Tecnicatura Universitaria","Adultez",",00"
"1515,00","2021-07-03","Actividades Acuáticas","Bv. Roca 111","FRANCISCO JOSE GOMES","f","Educacion Superior","Adultez",",00"
"1788,00","2021-07-03","Actividades Acuáticas","Bv. Roca 111","SAID AMARO","m","Ingenieria","Adultez",",00"
"1531,00","2021-07-05","Cardio y Acondicionamiento Físico","Bv. Roca 111","VICTOR MANUEL CASTEJON","m","Licenciatura","Adultez",",00"
"2410,00","2021-07-06","Deportes","Bv. Roca 111","LETICIA TORNERO","f","Educacion Superior","Adultez",",00"
